,accuracy,precision,recall,f1
PassiveAggressive,0.9762227423925095,0.9767495395948435,0.9787773933102653,0.9777624150247725
LogisticRegression,0.9712948133546877,0.9754288363467779,0.9707035755478662,0.9730604694184298
MultinomialNB,0.9390168781569546,0.9526166902404526,0.9321799307958477,0.9422875131164743
